"","SMILES","SMILESbeta","EndPt","ReadyBiodeg"
"72","[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O","O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1","NRB",0
"73","NC(=N)N(c1ccccc1)c2ccccc2","N=C(N)N(c1ccccc1)c1ccccc1","NRB",0
"74","Oc1c(Cl)cc(Cl)cc1[N+]([O-])=O","O=[N+]([O-])c1cc(Cl)cc(Cl)c1O","NRB",0
"75","O[S](=O)(=O)c1cc(Cl)ccc1Oc2ccc(Cl)cc2NC(=O)Nc3ccc(Cl)c(Cl)c3","O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cc(Cl)ccc1Oc1ccc(Cl)cc1S(=O)(=O)O","NRB",0
"76","CCCC[Sn](CCCC)(CCCC)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl","CCCC[Sn](CCCC)(CCCC)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl","NRB",0
"77","CC(C)(C)c1cc(C(O)=O)c(O)c(c1)C(C)(C)C","CC(C)(C)c1cc(C(=O)O)c(O)c(C(C)(C)C)c1","NRB",0
"78","CO[P](=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl","COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl","NRB",0
"79","CC(c1ccccc1)c2cccc(C)c2C","Cc1cccc(C(C)c2ccccc2)c1C","NRB",0
"80","CC1CC(CCC1N)CC2CCC(N)C(C)C2","CC1CC(CC2CCC(N)C(C)C2)CCC1N","NRB",0
"81","CCCCCCCCOc1ccc(c(O)c1)C(=O)c2ccccc2","CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1","NRB",0
"82","C\C=C1/CC2CC1C=C2","CC=C1CC2C=CC1C2","NRB",0
"83","[nH]1c2ccccc2cc1c3ccccc3","c1ccc(-c2cc3ccccc3[nH]2)cc1","NRB",0
"84","COC(=O)Nc1[nH]c2ccccc2n1","COC(=O)Nc1nc2ccccc2[nH]1","NRB",0
"85","CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C","CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1","NRB",0
"86","CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C","CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1","NRB",0
"87","N#CSCSc1sc2ccccc2n1","N#CSCSc1nc2ccccc2s1","NRB",0
"88","s1cccc1","c1ccsc1","NRB",0
"89","Nc1cccc(c1)[N+]([O-])=O","Nc1cccc([N+](=O)[O-])c1","NRB",0
"90","Oc1ccccc1[N](=O)=O","O=[N+]([O-])c1ccccc1O","NRB",0
"91","Cc1ccc(O)c(c1)[N+]([O-])=O","Cc1ccc(O)c([N+](=O)[O-])c1","NRB",0
"92","CCCCN[S](=O)(=O)c1ccccc1","CCCCNS(=O)(=O)c1ccccc1","NRB",0
"93","Nc1cccc(c1)[S](=O)(=O)c2cccc(N)c2","Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1","NRB",0
"94","Cc1cc(n2nc3ccc(Cl)cc3n2)c(O)c(c1)C(C)(C)C","Cc1cc(-n2nc3ccc(Cl)cc3n2)c(O)c(C(C)(C)C)c1","NRB",0
"95","O=C1\C(Nc2ccccc12)=C\3Nc4ccccc4C3=O","O=C1C(=C2Nc3ccccc3C2=O)Nc2ccccc21","NRB",0
"96","CCC(=O)Nc1cc(ccc1N=Nc2ccc(cc2Cl)[N](=O)=O)N(CCOC(C)=O)CCOC(C)=O","CCC(=O)Nc1cc(N(CCOC(C)=O)CCOC(C)=O)ccc1N=Nc1ccc([N+](=O)[O-])cc1Cl","NRB",0
"97","Oc1ccc(Nc2ccccc2)c3C(=O)c4c(c(O)ccc4[N+]([O-])=O)C(=O)c13","O=C1c2c(O)ccc(Nc3ccccc3)c2C(=O)c2c([N+](=O)[O-])ccc(O)c21","NRB",0
"98","OC(=O)c1ccc2cc(ccc2c1)C(O)=O","O=C(O)c1ccc2cc(C(=O)O)ccc2c1","NRB",0
"99","s1c2ccccc2c3ccccc13","c1ccc2c(c1)sc1ccccc12","NRB",0
"100","Nc1sccn1","Nc1nccs1","NRB",0
"101","NC(N)=NC#N","N#CN=C(N)N","NRB",0
"102","CCO[P](=O)(OCC)OCC","CCOP(=O)(OCC)OCC","NRB",0
"103","CO[P](=O)(OC)OC","COP(=O)(OC)OC","NRB",0
"104","CCCCC(CC)CO[P](=O)(OCC(CC)CCCC)OCC(CC)CCCC","CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC","NRB",0
"105","CN(C)c1cccc(c1)C(O)=O","CN(C)c1cccc(C(=O)O)c1","NRB",0
"106","OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O","O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O","NRB",0
"107","Cc1ccc(N)c(c1)[S](O)(=O)=O","Cc1ccc(N)c(S(=O)(=O)O)c1","NRB",0
"108","Cc1cc(N)c(cc1Cl)[S](O)(=O)=O","Cc1cc(N)c(S(=O)(=O)O)cc1Cl","NRB",0
"109","Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2","O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1","NRB",0
"110","Nc1ccc(\C=C\c2ccc(N)cc2[S](O)(=O)=O)c(c1)[S](O)(=O)=O","Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1","NRB",0
"111","OC(=O)c1ccc(Cl)c2c(Cl)ccc(C(=O)OC(=O)c3ccc(Cl)c4c(Cl)ccc(C(O)=O)c34)c12","O=C(O)c1ccc(Cl)c2c(Cl)ccc(C(=O)OC(=O)c3ccc(Cl)c4c(Cl)ccc(C(=O)O)c34)c12","NRB",0
"112","OC(=O)C1C(C(O)=O)C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl","O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl","NRB",0
"113","CC(C)C1=CC2C(C)CC1C3C2C(=O)OC3=O","CC(C)C1=CC2C(C)CC1C1C(=O)OC(=O)C21","NRB",0
"114","Nc1c(Cl)cc(cc1[S](O)(=O)=O)c2cc(Cl)c(N)c(c2)[S](O)(=O)=O","Nc1c(Cl)cc(-c2cc(Cl)c(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O","NRB",0
"115","Nc1[nH]cnn1","Nc1nnc[nH]1","NRB",0
"116","CC(=O)CC(=O)Nc1ccc(cc1C)c2ccc(NC(=O)CC(C)=O)c(C)c2","CC(=O)CC(=O)Nc1ccc(-c2ccc(NC(=O)CC(C)=O)c(C)c2)cc1C","NRB",0
"117","CC(=O)OCCN(CCOC(C)=O)c1ccc(N=Nc2sc3cc(Cl)ccc3n2)c(NC(=O)c4ccccc4)c1","CC(=O)OCCN(CCOC(C)=O)c1ccc(N=Nc2nc3ccc(Cl)cc3s2)c(NC(=O)c2ccccc2)c1","NRB",0
"118","CC(=O)C(N=Nc1ccc(cc1Cl)c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)C(=O)Nc4ccccc4","CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1","NRB",0
"119","Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(c1)[N+]([O-])=O","Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1","NRB",0
"120","CCO[P]([S-])(=S)OCC","CCOP(=S)([S-])OCC","NRB",0
"121","CN(C)[P](=O)(N(C)C)N(C)C","CN(C)P(=O)(N(C)C)N(C)C","NRB",0
"122","CCCCO[P](O)(=O)OCCCC","CCCCOP(=O)(O)OCCCC","NRB",0
"123","CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC","CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC","NRB",0
"124","CCCC[Sn](CCCC)(CCCC)OC(C)=O","CCCC[Sn](CCCC)(CCCC)OC(C)=O","NRB",0
"125","CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC","CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC","NRB",0
"126","Clc1ccc(cc1)[S](=O)(=O)c2ccc(Cl)cc2","O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1","NRB",0
"127","C1OC1CN(CC2CO2)c3ccccc3","c1ccc(N(CC2CO2)CC2CO2)cc1","NRB",0
"128","Cc1cccc(c1)[N+]([O-])=O","Cc1cccc([N+](=O)[O-])c1","NRB",0
"129","NN[S](=O)(=O)c1ccc(Oc2ccc(cc2)[S](=O)(=O)NN)cc1","NNS(=O)(=O)c1ccc(Oc2ccc(S(=O)(=O)NN)cc2)cc1","NRB",0
"130","Cc1ccc(cc1)[S](N)(=O)=O","Cc1ccc(S(N)(=O)=O)cc1","NRB",0
"131","Cc1ccc(cc1[S](O)(=O)=O)[N+]([O-])=O","Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O","NRB",0
"132","Cc1ccccc1NC(N)=Nc2ccccc2C","Cc1ccccc1N=C(N)Nc1ccccc1C","NRB",0
"133","OC(=O)[C@@H]1CCCC[C@@H]1C(=O)OC(=O)[C@@H]2CCCC[C@@H]2C(O)=O","O=C(O)C1CCCCC1C(=O)OC(=O)C1CCCCC1C(=O)O","NRB",0
"134","CCCCC(CC)CO[P](=O)(Oc1ccccc1)Oc2ccccc2","CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1","NRB",0
"135","CN(C)C(=S)S[Sn](c1ccccc1)(c2ccccc2)c3ccccc3","CN(C)C(=S)S[Sn](c1ccccc1)(c1ccccc1)c1ccccc1","NRB",0
"136","CCOC(=O)C(S[P](=S)(OC)OC)c1ccccc1","CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1","NRB",0
"137","CCO[P](=S)(Oc1ccc(cc1)[N+]([O-])=O)c2ccccc2","CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1","NRB",0
"138","CC(c1ccccc1)c2ccc(O)c(C(C)c3ccccc3)c2C(C)c4ccccc4","CC(c1ccccc1)c1ccc(O)c(C(C)c2ccccc2)c1C(C)c1ccccc1","NRB",0
"139","CC(C)C1CCCc2ccccc12","CC(C)C1CCCc2ccccc21","NRB",0
"140","O=C1c2ccccc2C(=O)c3c4ccccc4ccc13","O=C1c2ccccc2C(=O)c2c1ccc1ccccc21","NRB",0
"141","Cc1cscc1","Cc1ccsc1","NRB",0
"142","S=C1Nc2ccccc2S1","S=c1[nH]c2ccccc2s1","NRB",0
"143","S(Sc1sc2ccccc2n1)c3sc4ccccc4n3","c1ccc2sc(SSc3nc4ccccc4s3)nc2c1","NRB",0
"144","Cc1ccc(O)c(c1)n2n3n2c4ccccc34","Cc1ccc(O)c(-n2n3c4ccccc4n23)c1","NRB",0
"145","CC(=O)C(N=Nc1ccc(cc1Cl)c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3C)c(Cl)c2)C(=O)Nc4ccccc4C","CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1C","NRB",0
"146","CCO[P](=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl","CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl","NRB",0
"147","CC(C)=CC1C(C(=O)OC2CC(=O)C(=C2C)CC=C)C1(C)C","C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O","NRB",0
"148","CCN(C(=O)\C=C\C)c1ccccc1C","CC=CC(=O)N(CC)c1ccccc1C","NRB",0
"149","CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C","CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C","NRB",0
"150","C\C=C\C\C=C\C\C=C\CC=C","C=CCC=CCC=CCC=CC","NRB",0
"151","CCCCCCCCCCCCCCCC/C=C/C1CC(=O)OC1=O","CCCCCCCCCCCCCCCCC=CC1CC(=O)OC1=O","NRB",0
"152","CC(C)OC(Cl)=O","CC(C)OC(=O)Cl","NRB",0
"153","C[S](C)=O","CS(C)=O","NRB",0
"154","ClCCO[P](=O)(OCCCl)OCCCl","O=P(OCCCl)(OCCCl)OCCCl","NRB",0
"155","CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC","NRB",0
"156","CCCCC(CC)CO[P](O)(=O)OCC(CC)CCCC","CCCCC(CC)COP(=O)(O)OCC(CC)CCCC","NRB",0
"157","CCC(C)=NO[Si](C)(ON=C(C)CC)ON=C(C)CC","CCC(C)=NO[Si](C)(ON=C(C)CC)ON=C(C)CC","NRB",0
"158","CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)CCCC","CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)CCCC","NRB",0
"159","CCOc1ccc(NC(C)=O)cc1","CCOc1ccc(NC(C)=O)cc1","NRB",0
"160","Oc1ccc(cc1)[N+]([O-])=O","O=[N+]([O-])c1ccc(O)cc1","NRB",0
"161","Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O","O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1","NRB",0
"162","COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl","COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl","NRB",0
"163","OC(=O)c1cccc(c1)[N+]([O-])=O","O=C(O)c1cccc([N+](=O)[O-])c1","NRB",0
"164","CCCCCCCCCCCCCOP(Oc1ccccc1)Oc2ccccc2","CCCCCCCCCCCCCOP(Oc1ccccc1)Oc1ccccc1","NRB",0
"165","CO[P](=S)(OC)Oc1ccc(cc1)C#N","COP(=S)(OC)Oc1ccc(C#N)cc1","NRB",0
"166","COc1ccc(NC(C)=O)cc1N","COc1ccc(NC(C)=O)cc1N","NRB",0
"167","Brc1cc(Br)c(Br)c(Oc2ccc(Br)c(Br)c2Br)c1","Brc1cc(Br)c(Br)c(Oc2ccc(Br)c(Br)c2Br)c1","NRB",0
"168","CCO[P](=S)(Oc1ccc(Cl)cc1Cl)c2ccccc2","CCOP(=S)(Oc1ccc(Cl)cc1Cl)c1ccccc1","NRB",0
"169","CCc1ccccc1c2ccccc2CC","CCc1ccccc1-c1ccccc1CC","NRB",0
"170","C1CC=CC(C1)c2ccc(cc2)C3CCC=CC3","C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1","NRB",0
"171","COc1ccc(c(O)c1)C(=O)c2ccccc2","COc1ccc(C(=O)c2ccccc2)c(O)c1","NRB",0
"172","Nc1ccc2ccccc2c1[S](O)(=O)=O","Nc1ccc2ccccc2c1S(=O)(=O)O","NRB",0
"173","Nc1ccc2c(O)cc(cc2c1)[S](O)(=O)=O","Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1","NRB",0
"174","Nc1ccc2cc(cc(O)c2c1)[S](O)(=O)=O","Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1","NRB",0
"175","O=[S]1(=O)CCCC1","O=S1(=O)CCCC1","NRB",0
"176","C1CCC(CC1)NSc2sc3ccccc3n2","c1ccc2sc(SNC3CCCCC3)nc2c1","NRB",0
"177","COc1cc(NC(=O)C(N=Nc2ccc(cc2Cl)c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)C(C)=O)c(OC)cc1Cl","COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl","NRB",0
"178","C=CCOC1=N[S](=O)(=O)c2ccccc12","C=CCOC1=NS(=O)(=O)c2ccccc21","NRB",0
"179","CO[P]1(=S)OCc2ccccc2O1","COP1(=S)OCc2ccccc2O1","NRB",0
"180","Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C","Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C","NRB",0
"181","CCCCCCCCCCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","CCCCCCCCCCCCCCCCCCNC(=O)C(O)C(O)C(O)C(O)CO","NRB",0
"182","Cc1cccc(c1)C(O)=O","Cc1cccc(C(=O)O)c1","RB",1
"183","[nH]1ccnc1","c1c[nH]cn1","RB",1
"184","CCCCCCCC\C=C/CCCCCCCCCCCC(N)=O","CCCCCCCCC=CCCCCCCCCCCCC(N)=O","RB",1
"185","CC(O)COC(=O)C(C)=C","C=C(C)C(=O)OCC(C)O","RB",1
"186","C/C=C/C=C/C(O)=O","CC=CC=CC(=O)O","RB",1
"187","OC(=O)CC(=C)C(O)=O","C=C(CC(=O)O)C(=O)O","RB",1
"188","CCCCOC(=O)CC(C)=O","CCCCOC(=O)CC(C)=O","RB",1
"189","OC[C@@H](O)[C@H](O)[C@@H](O)CO","OCC(O)C(O)C(O)CO","RB",1
"190","OC(c1ccccc1)C(=O)c2ccccc2","O=C(c1ccccc1)C(O)c1ccccc1","RB",1
"191","CCCCCCCC\C=C/CCCCCCCC(O)=O","CCCCCCCCC=CCCCCCCCC(=O)O","RB",1
"192","OC(=O)CC(O)(CC(O)=O)C(O)=O","O=C(O)CC(O)(CC(=O)O)C(=O)O","RB",1
"193","OC(C(O)C(O)=O)C(O)=O","O=C(O)C(O)C(O)C(=O)O","RB",1
"195","CC(C)(C)c1cc(n2nc3ccccc3n2)c(O)c(c1)C(C)(C)C","CC(C)(C)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)C)c1","NRB",0
"196","CC(C)(C)c1cc(n2nc3ccc(Cl)cc3n2)c(O)c(c1)C(C)(C)C","CC(C)(C)c1cc(-n2nc3ccc(Cl)cc3n2)c(O)c(C(C)(C)C)c1","NRB",0
"197","C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3","c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1","NRB",0
"198","COc1c2occc2cc3C=CC(=O)Oc13","COc1c2occc2cc2ccc(=O)oc12","NRB",0
"199","CCCCC(CC)CO[P](O)(=O)CC(CC)CCCC","CCCCC(CC)COP(=O)(O)CC(CC)CCCC","NRB",0
"200","CCCC[Sn](=O)CCCC","CCCC[Sn](=O)CCCC","NRB",0
